speaker,island,word,intensity
JE,Mauke,vaka,60.77513541
JE,Mauke,vaka,55.91650917
JE,Mauke,vaka,49.92780151
JE,Mauke,vaka,48.45970613
JE,Mauke,vaka,56.4142241
JE,Mauke,vaka,61.59675299
JE,Mauke,vaka,55.55140085
JE,Mauke,vaka,49.99868
JE,Mauke,vaka,53.36299093
JE,Mauke,vaka,55.52647639
JE,Mauke,vaka,51.80105987
JE,Mauke,vaka,36.1810064
JE,Mauke,vaka,59.50332457
JE,Mauke,vaka,55.69513685
JE,Mauke,vaka,55.75133887
MM,Mauke,vaka,75.39618743
MM,Mauke,vaka,74.20290227
MM,Mauke,vaka,63.96232226
MM,Mauke,vaka,72.96881667
MM,Mauke,vaka,66.69747867
MM,Mauke,vaka,62.96399863
MM,Mauke,vaka,72.40223104
MM,Mauke,vaka,72.64823586
MM,Mauke,vaka,73.74370175
MM,Mauke,vaka,63.96945356
MM,Mauke,vaka,75.31192643
MM,Mauke,vaka,66.02797524
MM,Mauke,vaka,71.98399696
MM,Mauke,vaka,69.6565722
MM,Mauke,vaka,78.88266691
MSC,Mauke,vaka,53.76120735
MSC,Mauke,vaka,58.00099393
JE,Mauke,vao,50.42527402
JA,Mauke,varaini,64.45352881
JA,Mauke,varaire,62.4894761
JA,Mauke,varani,62.99451355
JA,Mauke,varani,62.60097377
JA,Mauke,varani,53.31219707
JA,Mauke,varani,62.55899677
JA,Mauke,varani,58.99536965
JA,Mauke,varani,64.61520818
MSC,Mauke,varani,54.23574946
JA,Mauke,varea,64.56958748
JA,Mauke,vareaꞌia,60.34100039
JA,Mauke,vari,45.41960826
JA,Mauke,varu,64.48921147
MSC,Mauke,varāoa,45.32548504
JA,Mauke,vave,68.34441178
JA,Mauke,vave,72.36587272
JA,Mauke,vave,68.20721107
JA,Mauke,vave,71.60985613
JA,Mauke,vave,64.87554951
JA,Mauke,vave,62.77390271
JA,Mauke,vave,69.5609507
JA,Mauke,vave,66.2787388
JA,Mauke,vave,67.87800042
JA,Mauke,vave,61.48577996
MSC,Mauke,vave,56.14629325
MSC,Mauke,vave,49.31002836
JA,Mauke,vavia,67.19514809
JA,Mauke,vavia,72.92984808
JA,Mauke,vavia,71.0052729
JA,Mauke,vavia,76.2465234
JA,Mauke,vaꞌa,73.50972491
MM,Mauke,vaꞌa,72.14576164
MM,Mauke,vaꞌa,69.97970276
JA,Mauke,vaꞌarua,55.7441331
MSC,Mauke,vaꞌeꞌau,56.73717127
JA,Mauke,vaꞌine,61.60228627
JA,Mauke,vaꞌine,63.16885038
JA,Mauke,vaꞌine,54.41418992
JA,Mauke,vaꞌine,62.48959113
JA,Mauke,vaꞌine,64.29105198
JA,Mauke,vaꞌine,67.61158907
JA,Mauke,vaꞌine,65.00128735
JA,Mauke,vaꞌine,65.10140767
JA,Mauke,vaꞌine,61.38332828
JE,Mauke,vaꞌine,55.40768186
JE,Mauke,vaꞌine,55.98420838
JE,Mauke,vaꞌine,56.97362944
JE,Mauke,vaꞌine,58.82033719
JE,Mauke,vaꞌine,55.41350923
JE,Mauke,vaꞌine,56.84646027
JE,Mauke,vaꞌine,57.69901498
JE,Mauke,vaꞌine,57.10732373
JE,Mauke,vaꞌine,56.32198725
JE,Mauke,vaꞌine,52.91817533
JE,Mauke,vaꞌine,54.63688871
JE,Mauke,vaꞌine,47.66535402
JE,Mauke,vaꞌine,58.99179343
JE,Mauke,vaꞌine,58.99179343
MM,Mauke,vaꞌine,74.12698042
MM,Mauke,vaꞌine,76.11538309
MM,Mauke,vaꞌine,66.17642727
MM,Mauke,vaꞌine,77.32924249
MM,Mauke,vaꞌine,71.66357163
MM,Mauke,vaꞌine,70.36287158
MM,Mauke,vaꞌine,66.92980867
MM,Mauke,vaꞌine,78.41531996
MM,Mauke,vaꞌine,77.22732393
MM,Mauke,vaꞌine,78.15123361
MM,Mauke,vaꞌine,72.29634944
MSC,Mauke,vaꞌine,58.33518795
JA,Mauke,vaꞌiē,51.66177263
JA,Mauke,vaꞌiē,51.28037725
JA,Mauke,vaꞌiē,43.1010413
JA,Mauke,vaꞌo,67.56462181
JA,Mauke,vaꞌo,59.7345786
JA,Mauke,vaꞌo,68.74733925
JA,Mauke,vaꞌo,63.20225854
JA,Mauke,vaꞌo,67.65290124
JA,Mauke,vaꞌo,60.0016919
JA,Mauke,vaꞌo,72.52772307
JA,Mauke,vaꞌo,61.98312726
JA,Mauke,vaꞌo,62.04442282
JA,Mauke,vaꞌo,49.92710893
JA,Mauke,vaꞌo,40.88680303
JA,Mauke,vaꞌo,35.30546991
JA,Mauke,vaꞌo,39.39221134
JE,Mauke,vaꞌo,46.59072067
MSC,Mauke,vaꞌo,52.97308528
MSC,Mauke,vaꞌo,50.59783332
MSC,Mauke,vaꞌo,62.20152779
JA,Mauke,vaꞌī,54.58077127
JA,Mauke,vaꞌī,62.44239081
JA,Mauke,vera,68.06962535
JA,Mauke,veravera,59.93000491
JA,Mauke,veravera,64.93838014
JE,Mauke,veritūamaroa,61.33390162
JE,Mauke,veritūamaroa,60.63865045
JE,Mauke,veritūamaroa,63.65676296
JA,Mauke,vetiꞌia,70.35433728
JA,Mauke,veꞌeveꞌe,65.49871969
JA,Mauke,veꞌeveꞌe,64.72736464
JA,Mauke,vinivini,72.1961256
JA,Mauke,vinivini,78.28020117
JA,Mauke,vinivini,56.93747772
JA,Mauke,vinivini,68.48032746
JA,Mauke,viriꞌia,56.65992776
JA,Mauke,viriꞌia,57.02141104
JA,Mauke,vitiviti,72.6236765
